"atom","sigma(A)","epsilon(K)"
"H",2.5711337005530193,22.141666812600377
"C",3.4308509635584463,52.83806853006909
"B",3.63754,90.58883
"N",3.260689308393642,34.72215931975969
"O",3.1181455134911875,30.193182017182334
"F",2.996983287824101,25.160985014318612
"Cl",3.516377240499919,114.2308719650065
"Na",2.65755,15.09814
"Ni",2.5248069672097215,7.5482955042955835
"S",3.59478,137.89633
"Br",3.731974730289881,126.30814477187944
"Zn",2.46155,62.40564
"Si",3.82641,202.31505
"Co",2.55866,7.04580
"Cu",3.11369,2.51636
"Li",2.18359,12.58178
"I",4.00904,170.60896
"P",3.69456,153.49774
"V",2.80099,8.05234
"Ti",2.82860,8.55561
"Ar",3.44600,93.10518
"Xe",3.92352,167.08606
"Kr",3.68921,110.71968
## Xe,Kr from Rutkai et al. DOI: 10.1080/00268976.2016.1246760 to produce gaseous behavior
#"Xe",3.949,226.14
#"Kr",3.6274,162.58
