crystal_name,crystal_density,B,O,C,H,Si,N,S,P,halogens,metals
05000N2_ddec.cif,1049.36734440269,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0
05001N2_ddec.cif,585.4772095119,0.0625,0.125,0.5625,0.25,0.0,0.0,0.0,0.0,0.0,0.0
07000N2_ddec.cif,458.05448366779876,0.047619047619047616,0.09523809523809523,0.5714285714285714,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0
07001N2_ddec.cif,1100.2199764927752,0.07142857142857142,0.14285714285714285,0.5714285714285714,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0
07002N2_ddec.cif,703.1143859606678,0.041666666666666664,0.08333333333333333,0.5833333333333334,0.2916666666666667,0.0,0.0,0.0,0.0,0.0,0.0
07010N3_ddec.cif,421.6797840757804,0.08163265306122448,0.08163265306122448,0.5102040816326531,0.32653061224489793,0.0,0.0,0.0,0.0,0.0,0.0
07011N3_ddec.cif,383.1168353325901,0.08163265306122448,0.08163265306122448,0.4897959183673469,0.32653061224489793,0.02040816326530612,0.0,0.0,0.0,0.0,0.0
07012N3_ddec.cif,180.98115721860594,0.047058823529411764,0.09411764705882353,0.5647058823529412,0.2823529411764706,0.011764705882352941,0.0,0.0,0.0,0.0,0.0
07013N3_ddec.cif,171.07457191644215,0.047058823529411764,0.09411764705882353,0.5764705882352941,0.2823529411764706,0.0,0.0,0.0,0.0,0.0,0.0
08000N3_ddec.cif,519.9785160557099,0.04428044280442804,0.08856088560885608,0.3948339483394834,0.44280442804428044,0.02952029520295203,0.0,0.0,0.0,0.0,0.0
08010N2_ddec.cif,1143.1491213329991,0.05263157894736842,0.10526315789473684,0.42105263157894735,0.42105263157894735,0.0,0.0,0.0,0.0,0.0,0.0
08011N2_ddec.cif,988.3273845164592,0.0625,0.125,0.4375,0.375,0.0,0.0,0.0,0.0,0.0,0.0
08012N2_ddec.cif,874.699774499947,0.07692307692307693,0.15384615384615385,0.46153846153846156,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0
08013N2_ddec.cif,756.001038154494,0.1,0.2,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0
08020N2_ddec.cif,1002.363374568802,0.0,0.0,0.5714285714285714,0.2857142857142857,0.0,0.14285714285714285,0.0,0.0,0.0,0.0
08030N2_ddec.cif,518.3364974584679,0.043478260869565216,0.08695652173913043,0.6086956521739131,0.2608695652173913,0.0,0.0,0.0,0.0,0.0,0.0
09000N3_ddec.cif,501.0455191496647,0.0,0.0,0.5616438356164384,0.3835616438356164,0.0,0.0547945205479452,0.0,0.0,0.0,0.0
09010N2_ddec.cif,731.008729015671,0.07142857142857142,0.07142857142857142,0.5714285714285714,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0
10000N2_ddec.cif,960.475216280665,0.0,0.0,0.6,0.3,0.0,0.1,0.0,0.0,0.0,0.0
10010N2_ddec.cif,759.4614624670429,0.04878048780487805,0.0975609756097561,0.5365853658536586,0.21951219512195122,0.0,0.0975609756097561,0.0,0.0,0.0,0.0
10020N2_ddec.cif,635.8506933238112,0.0,0.0,0.6153846153846154,0.38461538461538464,0.0,0.0,0.0,0.0,0.0,0.0
11000N2_ddec.cif,596.6174211083564,0.0,0.09090909090909091,0.4090909090909091,0.4090909090909091,0.0,0.09090909090909091,0.0,0.0,0.0,0.0
11001N2_ddec.cif,736.428622342699,0.0,0.09090909090909091,0.4090909090909091,0.4090909090909091,0.0,0.09090909090909091,0.0,0.0,0.0,0.0
11002N2_ddec.cif,427.07625511220937,0.0,0.0625,0.46875,0.40625,0.0,0.0625,0.0,0.0,0.0,0.0
11003N2_ddec.cif,493.234361703798,0.0,0.0625,0.46875,0.40625,0.0,0.0625,0.0,0.0,0.0,0.0
11010N2_ddec.cif,935.5220420910194,0.04819277108433735,0.0963855421686747,0.5301204819277109,0.14457831325301204,0.0,0.14457831325301204,0.024096385542168676,0.0,0.0,0.012048192771084338
11020N2_ddec.cif,618.7741305717103,0.0,0.0,0.5454545454545454,0.36363636363636365,0.0,0.09090909090909091,0.0,0.0,0.0,0.0
11030N2_ddec.cif,552.1291332496619,0.0,0.0,0.5660377358490566,0.3584905660377358,0.0,0.07547169811320754,0.0,0.0,0.0,0.0
11031N2_ddec.cif,299.75730659784097,0.031746031746031744,0.06349206349206349,0.5714285714285714,0.30158730158730157,0.0,0.031746031746031744,0.0,0.0,0.0,0.0
11040N2_ddec.cif,344.50336577434973,0.043478260869565216,0.08695652173913043,0.6086956521739131,0.2608695652173913,0.0,0.0,0.0,0.0,0.0,0.0
