crystal_name,pore_diameter_Å,void_fraction,surface_area_m²g⁻¹
05000N2_ddec.cif,3.84928,0.2,4175.64
05001N2_ddec.cif,19.7302,0.6,3156.96
07000N2_ddec.cif,26.16246,0.8,3407.23
07001N2_ddec.cif,7.82083,0.4,2565.59
07002N2_ddec.cif,14.84694,0.4,3345.75
07010N3_ddec.cif,9.33026,0.7,5261.66
07011N3_ddec.cif,9.94867,0.7,5452.36
07012N3_ddec.cif,18.94596,0.9,5335.37
07013N3_ddec.cif,27.19302,0.9,5190.06
08000N3_ddec.cif,10.04139,0.6,5593.85
08010N2_ddec.cif,4.7838,0.2,3845.42
08011N2_ddec.cif,7.51918,0.4,3597.55
08012N2_ddec.cif,9.8332,0.5,3440.67
08013N2_ddec.cif,13.08046,0.5,3172.89
08020N2_ddec.cif,7.90088,0.4,3426.45
08030N2_ddec.cif,24.73597,0.9,3155.66
09000N3_ddec.cif,9.64438,0.5,6170.58
09010N2_ddec.cif,13.63753,0.7,4854.78
10000N2_ddec.cif,8.64115,0.4,3109.4
10010N2_ddec.cif,14.38798,0.7,3069.22
10020N2_ddec.cif,14.12635,0.5,3979.62
11000N2_ddec.cif,13.36177,0.8,5031.74
11001N2_ddec.cif,6.3075,0.4,5519.54
11002N2_ddec.cif,27.2536,0.8,4084.94
11003N2_ddec.cif,13.11535,0.9,5982.33
11010N2_ddec.cif,11.44013,0.6,2471.66
11020N2_ddec.cif,12.79729,0.4,4523.6
11030N2_ddec.cif,15.41679,1.0,4725.53
11031N2_ddec.cif,26.63908,0.6,5465.75
11040N2_ddec.cif,32.93058,0.9,3866.0
12000N2_ddec.cif,13.44419,0.6,3476.07
12001N2_ddec.cif,10.58897,0.4,3421.88
12010N2_ddec.cif,19.07485,0.6,3862.11
12011N2_ddec.cif,19.15145,0.6,3605.82
12012N2_ddec.cif,19.12853,0.6,3576.4
12020N2_ddec.cif,15.82596,0.6,2752.84
12022N2_ddec.cif,24.06552,0.7,3464.43
12023N2_ddec.cif,24.58257,0.7,2918.38
12024N2_ddec.cif,28.05485,0.7,3654.65
12030N2_ddec.cif,16.84676,0.5,2687.53
12040N2_ddec.cif,19.14047,0.4,3090.26
12050N2_ddec.cif,9.46302,0.4,4054.52
12060N2_ddec.cif,14.61678,0.6,2698.45
12061N2_ddec.cif,14.54875,0.6,2703.24
12062N2_ddec.cif,14.29827,0.6,2561.33
13000N2_ddec.cif,6.37954,0.4,1998.14
13010N2_ddec.cif,26.46291,0.6,2997.66
13011N2_ddec.cif,31.02732,0.6,3024.28
13012N2_ddec.cif,32.66085,0.6,2974.98
13020N2_ddec.cif,27.27431,0.8,5377.82
13030N2_ddec.cif,2.94547,0.3,3776.51
13040N3_ddec.cif,6.16039,0.1,4025.31
13050N2_ddec.cif,18.42693,0.7,3228.94
13060N2_ddec.cif,11.54845,0.3,4556.08
13070N2_ddec.cif,17.38774,0.7,3271.18
13071N2_ddec.cif,17.57051,0.6,3662.63
13072N2_ddec.cif,19.94726,0.5,3512.77
13073N2_ddec.cif,17.33898,0.7,3208.64
13074N2_ddec.cif,16.23125,0.5,3726.43
13075N2_ddec.cif,12.84025,0.4,3103.96
13076N2_ddec.cif,12.45606,0.4,2748.46
13077N2_ddec.cif,11.27834,0.4,3195.27
13078N2_ddec.cif,10.54691,0.5,3553.36
13080N2_ddec.cif,15.17518,0.4,2637.31
13090N2_ddec.cif,22.02192,0.7,2946.55
13100N2_ddec.cif,19.07895,0.5,5043.07
13110N2_ddec.cif,11.58627,0.6,4510.97
13120N2_ddec.cif,13.52573,0.5,4932.09
13121N2_ddec.cif,19.5919,0.5,4514.47
13122N2_ddec.cif,27.50463,0.7,4986.05
13123N2_ddec.cif,17.75202,0.5,3855.95
13130N2_ddec.cif,39.76837,0.7,3302.71
13140N2_ddec.cif,6.47206,0.4,2978.36
13141N2_ddec.cif,12.68633,0.6,3272.44
13142N2_ddec.cif,9.61708,0.3,2772.44
13150N2_ddec.cif,19.52597,0.5,3763.06
13160N2_ddec.cif,19.47383,0.6,4947.73
13161N2_ddec.cif,18.82862,0.8,5054.14
13170N2_ddec.cif,22.12427,0.7,3236.24
13180N3_ddec.cif,5.26001,0.3,4138.04
13181N3_ddec.cif,5.7244,0.6,4836.06
13182N3_ddec.cif,5.82992,0.2,3784.84
13190N2_ddec.cif,11.69991,0.5,4097.44
13191N2_ddec.cif,20.8581,0.4,4249.16
14000N2_ddec.cif,8.39122,0.4,4308.36
14010N2_ddec.cif,14.00374,0.5,4523.47
14020N2_ddec.cif,25.72078,0.5,5621.32
14030N2_ddec.cif,34.64499,0.8,3388.38
14040N2_ddec.cif,27.51614,0.8,4152.05
14050N3_ddec.cif,12.26567,0.7,6001.19
14051N3_ddec.cif,12.97507,0.7,4835.58
14060N2_ddec.cif,17.55621,0.7,4456.14
14070N2_ddec.cif,23.45999,0.3,4837.05
14071N2_ddec.cif,21.06284,0.4,4042.38
14072N2_ddec.cif,19.54346,0.3,5321.96
14073N2_ddec.cif,18.78344,0.5,4873.59
14080N2_ddec.cif,33.53272,0.9,4944.36
14090N2_ddec.cif,22.42674,0.7,3895.15
14091N2_ddec.cif,22.64298,0.7,3754.64
15000N2_ddec.cif,3.5094,0.3,3195.31
15010N2_ddec.cif,19.95355,0.6,4532.31
15020N2_ddec.cif,24.40121,0.6,4762.51
15021N2_ddec.cif,21.57123,0.7,5011.69
15030N2_ddec.cif,16.9014,0.6,4100.75
15031N2_ddec.cif,23.46204,0.8,3896.39
15040N2_ddec.cif,11.20659,0.5,4299.53
15050N2_ddec.cif,7.95629,0.4,3172.07
15060N2_ddec.cif,12.51933,0.3,4310.27
15061N2_ddec.cif,15.21097,0.3,4673.97
15070N2_ddec.cif,25.54078,0.7,4116.93
15071N2_ddec.cif,25.2114,0.7,3862.89
15072N2_ddec.cif,16.31818,0.8,4216.7
15080N2_ddec.cif,10.5938,0.9,5054.88
15081N2_ddec.cif,17.20752,0.4,4450.21
15090N2_ddec.cif,17.3466,0.8,4957.97
15091N2_ddec.cif,12.82588,0.7,4363.83
15100N2_ddec.cif,31.49759,0.8,3796.09
15101N2_ddec.cif,19.15734,0.5,3095.89
15110N2_ddec.cif,24.01167,0.7,3534.48
15111N2_ddec.cif,30.32973,0.5,3525.26
15131N2_ddec.cif,28.78633,0.8,3953.29
15140N2_ddec.cif,29.52778,0.8,4481.04
15150N2_ddec.cif,14.08286,0.4,5287.98
15160N2_ddec.cif,7.40845,0.3,5367.28
15161N2_ddec.cif,15.54098,0.7,5979.66
15162N2_ddec.cif,10.41823,0.3,3321.72
15163N2_ddec.cif,18.25392,0.6,4478.41
15170N2_ddec.cif,10.78469,0.4,3548.75
15171N2_ddec.cif,7.61354,0.5,5266.71
15180N2_ddec.cif,23.38247,0.7,2761.0
15181N2_ddec.cif,29.26242,0.7,2971.0
15182N2_ddec.cif,27.72885,0.7,4023.65
15183N2_ddec.cif,23.85134,0.7,3056.96
15184N2_ddec.cif,29.13002,0.7,2927.82
15185N2_ddec.cif,24.08857,0.7,2936.94
15186N2_ddec.cif,37.71892,0.8,3271.55
15190N2_ddec.cif,7.48822,0.4,2917.91
15200N3_ddec.cif,8.26864,0.6,4585.75
15210N2_ddec.cif,19.44775,0.8,3328.66
