"atom","sigma(A)","epsilon(K)"
"H",2.5711337005530193,22.141666812600377
"C",3.4308509635584463,52.83806853006909
"B",3.63754,90.58883
"N",3.260689308393642,34.72215931975969
"O",3.1181455134911875,30.193182017182334
"F",2.996983287824101,25.160985014318612
"Cl",3.516377240499919,114.2308719650065
"Ni",2.5248069672097215,7.5482955042955835
"S",3.59478,137.89633
"Br",3.731974730289881,126.30814477187944
"Zn",2.46155,62.40564
"Si",3.82641,202.31505
"Co",2.55866,7.04580
"Cu",3.11369,2.51636
"P",3.69456,153.49774
"V",2.80099,8.05234
"Xe",3.92352,167.08606
"Kr",3.68921,110.71968
"ig",0.000001,0.0
