crystal_name,crystal_density,density_of_Carbon,density_of_Hydrogen,density_of_Oxygen,density_of_Nitrogen,density_of_Silicon,density_of_Sulfur,density_of_Halogens,density_of_Metals
05000N2_ddec.cif,1049.36734440269,0.002435860415043225,0.00162390694336215,0.000811953471681075,0.0,0.0,0.0,0.0,0.0
05001N2_ddec.cif,585.4772095119,0.0017067293042258575,0.0007585463574337145,0.00037927317871685724,0.0,0.0,0.0,0.0,0.0
07000N2_ddec.cif,458.05448366779876,0.0014293633257653237,0.0007146816628826618,0.00023822722096088726,0.0,0.0,0.0,0.0,0.0
07001N2_ddec.cif,1100.2199764927752,0.006224837061194376,0.002334313897947891,0.001556209265298594,0.0,0.0,0.0,0.0,0.0
07002N2_ddec.cif,703.1143859606678,0.00453176077699898,0.00226588038849949,0.0006473943967141401,0.0,0.0,0.0,0.0,0.0
07010N3_ddec.cif,421.6797840757804,0.001248818955233784,0.0007992441313496218,0.00019981103283740544,0.0,0.0,0.0,0.0,0.0
07011N3_ddec.cif,383.1168353325901,0.0010494092843742633,0.0006996061895828423,0.00017490154739571059,0.0,4.3725386848927646e-5,0.0,0.0,0.0
07012N3_ddec.cif,180.98115721860594,0.0005449273918821513,0.0002724636959410756,9.082123198035854e-5,0.0,1.1352653997544817e-5,0.0,0.0,0.0
07013N3_ddec.cif,171.07457191644215,0.002146449200034599,0.0010513220571598035,0.0003504406857199345,0.0,0.0,0.0,0.0,0.0
08000N3_ddec.cif,519.9785160557099,0.0039060178055739733,0.004380580716531559,0.0008761161433063118,0.0,0.00029203871443543724,0.0,0.0,0.0
08010N2_ddec.cif,1143.1491213329991,0.0031229614046727706,0.0031229614046727706,0.0007807403511681927,0.0,0.0,0.0,0.0,0.0
08011N2_ddec.cif,988.3273845164592,0.002611787951564784,0.002238675387055529,0.0007462251290185097,0.0,0.0,0.0,0.0,0.0
08012N2_ddec.cif,874.699774499947,0.002215017015005891,0.0014766780100039273,0.0007383390050019637,0.0,0.0,0.0,0.0,0.0
08013N2_ddec.cif,756.001038154494,0.0018087261098846574,0.000723490443953863,0.000723490443953863,0.0,0.0,0.0,0.0,0.0
08020N2_ddec.cif,1002.363374568802,0.0031407362652167326,0.0015703681326083663,0.0,0.0007851840663041831,0.0,0.0,0.0,0.0
08030N2_ddec.cif,518.3364974584679,0.0016781674640434893,0.0007192146274472097,0.0002397382091490699,0.0,0.0,0.0,0.0,0.0
09000N3_ddec.cif,501.0455191496647,0.005363042145903456,0.0036625653679340678,0.0,0.0005232236239905812,0.0,0.0,0.0,0.0
09010N2_ddec.cif,731.008729015671,0.0023122012358799573,0.0011561006179399787,0.00028902515448499467,0.0,0.0,0.0,0.0,0.0
10000N2_ddec.cif,960.475216280665,0.003246049519871028,0.001623024759935514,0.0,0.000541008253311838,0.0,0.0,0.0,0.0
10010N2_ddec.cif,759.4614624670429,0.0060620594444088126,0.0024799334090763324,0.0011021926262561477,0.0011021926262561477,0.0,0.0,0.0,0.0
10020N2_ddec.cif,635.8506933238112,0.0025243816116709773,0.0015777385072943608,0.0,0.0,0.0,0.0,0.0,0.0
11000N2_ddec.cif,596.6174211083564,0.001520875050523479,0.001520875050523479,0.00033797223344966197,0.00033797223344966197,0.0,0.0,0.0,0.0
11001N2_ddec.cif,736.428622342699,0.001877276590636084,0.001877276590636084,0.00041717257569690757,0.00041717257569690757,0.0,0.0,0.0,0.0
11002N2_ddec.cif,427.07625511220937,0.0012693239607463077,0.0011000807659801335,0.00016924319476617437,0.00016924319476617437,0.0,0.0,0.0,0.0
11003N2_ddec.cif,493.234361703798,0.0014659541149379715,0.0012704935662795752,0.0001954605486583962,0.0001954605486583962,0.0,0.0,0.0,0.0
11010N2_ddec.cif,935.5220420910194,0.0030902435395178743,0.0008427936925957839,0.0005618624617305226,0.0008427936925957839,0.0,0.00014046561543263066,0.0,7.023280771631533e-5
11020N2_ddec.cif,618.7741305717103,0.0020678330935046977,0.0013785553956697984,0.0,0.0003446388489174496,0.0,0.0,0.0,0.0
11030N2_ddec.cif,552.1291332496619,0.005726193829427943,0.0036265894253043637,0.0,0.0007634925105903924,0.0,0.0,0.0,0.0
11031N2_ddec.cif,299.75730659784097,0.0014373245845656665,0.0007585879751874351,0.0001597027316184074,7.98513658092037e-5,0.0,0.0,0.0,0.0
11040N2_ddec.cif,344.50336577434973,0.0011153649077977736,0.00047801353191333153,0.0001593378439711105,0.0,0.0,0.0,0.0,0.0
12000N2_ddec.cif,741.1023105794659,0.0021031744470508943,0.0014021162980339297,0.0003505290745084824,0.0003505290745084824,0.0,0.0,0.0,0.0
12001N2_ddec.cif,848.4612290294345,0.0024811508884939786,0.0021267007615662675,0.0003544501269277112,0.0003544501269277112,0.0,0.0,0.0,0.0
12010N2_ddec.cif,598.505263263236,0.0013562998921916641,0.0007265892279598201,0.00019375712745595204,9.687856372797602e-5,0.0,0.0,0.0,0.0
12011N2_ddec.cif,639.6714196712348,0.002714265051745946,0.001357132525872973,0.00038775215024942087,0.00019387607512471043,0.0,0.0,0.0,4.846901878117761e-5
12012N2_ddec.cif,641.1875824848518,0.002725730320473899,0.0013628651602369496,0.0003893900457819856,0.0001946950228909928,0.0,0.0,0.0,4.86737557227482e-5
12020N2_ddec.cif,747.6625846801393,0.012621539436378488,0.004733077288641933,0.001577692429547311,0.001577692429547311,0.0,0.0,0.0,0.00019721155369341388
12022N2_ddec.cif,521.6055352846575,0.008805395600537003,0.0033020233502013764,0.0011006744500671253,0.0011006744500671253,0.0,0.0,0.0,0.00013758430625839067
12023N2_ddec.cif,576.8120965066661,0.009269832624104156,0.0035313648091825356,0.0017656824045912678,0.0013242618034434508,0.0,0.0,0.0,0.00011035515028695424
12024N2_ddec.cif,463.048859547114,0.008190573720787804,0.003448662619279075,0.0008621656548197687,0.0008621656548197687,0.0,0.0,0.0,0.00010777070685247109
12030N2_ddec.cif,721.9460453983645,0.0035448838575584387,0.0011816279525194795,0.0007877519683463197,0.00039387598417315987,0.0,0.00019693799208657994,0.0,0.0
12040N2_ddec.cif,643.5066899099926,0.001911293785695908,0.0011467762714175446,0.00038225875713918155,0.0,0.0,0.0,0.0,0.0
12050N2_ddec.cif,832.5241229221701,0.005265632953629774,0.0039492247152223305,0.0,0.0006582041192037218,0.0,0.0,0.0,0.0
12060N2_ddec.cif,818.4877175819538,0.003034888480561315,0.0011035958111132054,0.0005517979055566027,0.0005517979055566027,0.0,0.0,0.0,6.897473819457534e-5
12061N2_ddec.cif,819.3055699818249,0.0030441710897701393,0.0011069713053709599,0.0005534856526854799,0.0005534856526854799,0.0,0.0,0.0,6.918570658568499e-5
12062N2_ddec.cif,839.4647119423718,0.0031352972245448345,0.0011401080816526672,0.0005700540408263336,0.0005700540408263336,0.0,0.0,0.0,7.12567551032917e-5
13000N2_ddec.cif,1580.577158511439,0.0031713511322178055,0.0,0.0,0.0007928377830544514,0.0,0.0,0.0015856755661089027,0.0
13010N2_ddec.cif,579.1209736927893,0.0019371073711580225,0.0009115799393684811,0.0002278949848421203,0.0,0.0,0.0,0.0,0.0
13011N2_ddec.cif,506.3740376395071,0.0017629251522184503,0.0008013296146447501,0.00016026592292895002,0.0,0.0,0.0,0.0,0.0
13012N2_ddec.cif,470.364621264556,0.0016106967380051646,0.0008053483690025823,0.00016106967380051645,0.0,0.0,0.0,0.0,0.0
13020N2_ddec.cif,273.997541325938,0.0024371713096361593,0.001176565459824353,0.0005042423399247226,0.0,0.0,0.0,0.0,0.0
13030N2_ddec.cif,1448.0137905860847,0.008541332553458174,0.0028471108511527246,0.0,0.0028471108511527246,0.0,0.0,0.0,0.0
