xtal,henry_selectivity,gcmc_selectivity
05000N2_ddec.cif,1.5805050493821187,1.696244892692333
05001N2_ddec.cif,3.2713531204424164,3.272498162401613
07000N2_ddec.cif,2.997896236742983,2.9937202691038975
07001N2_ddec.cif,9.013792992979925,9.650387795582443
07002N2_ddec.cif,3.6025288195660257,3.6440091280292104
07010N3_ddec.cif,2.861281824372006,2.9020904083886037
07011N3_ddec.cif,2.572449068267546,2.608942041674406
07013N3_ddec.cif,1.854147098622194,1.8597673933417271
08000N3_ddec.cif,4.5299255458988075,4.576175704072115
08010N2_ddec.cif,6.3961792281396095,6.473829589979741
08011N2_ddec.cif,4.821630173646602,4.802045291586816
08012N2_ddec.cif,3.7633511711056293,3.760858405563195
08013N2_ddec.cif,4.34633360827267,4.3848540860398355
08020N2_ddec.cif,6.87856134030866,6.881047378855367
08030N2_ddec.cif,3.441883090917703,3.448842456758517
09000N3_ddec.cif,3.854387894618386,3.8789713956254515
09010N2_ddec.cif,3.4930494168005777,3.500977902108815
10000N2_ddec.cif,5.342059702865576,5.502990526170698
10010N2_ddec.cif,3.2854003152316813,3.309458781342518
10020N2_ddec.cif,3.8782388259452185,3.9372100681683615
11000N2_ddec.cif,5.619067633661085,5.562096652998946
11001N2_ddec.cif,3.7764547726402116,3.836424483128883
11002N2_ddec.cif,3.032076143593109,3.0316490702328887
11003N2_ddec.cif,3.1419667980430357,3.0790818132771536
11010N2_ddec.cif,3.8146213334129406,3.8312762487603047
11020N2_ddec.cif,3.5770282647223843,3.6471369619046485
11030N2_ddec.cif,3.54304711587897,3.512241909820226
11031N2_ddec.cif,7.8116406482917355,5.022021609210795
11040N2_ddec.cif,2.7493489582898207,2.7305541237800792
12000N2_ddec.cif,3.5936626770518676,3.6289924600110948
12001N2_ddec.cif,4.452408534693906,4.624223329346142
12010N2_ddec.cif,3.3738927625898536,3.3915658343356965
12011N2_ddec.cif,3.3685480091712843,3.3796187412726097
12012N2_ddec.cif,3.404094012430193,3.415748162357534
12020N2_ddec.cif,3.5769376868505414,3.5779583041972387
12022N2_ddec.cif,2.8615110090232996,2.8717389164600564
12023N2_ddec.cif,2.7795039211655572,2.7872744215288523
12024N2_ddec.cif,2.7510295673702148,2.7389170997427503
12030N2_ddec.cif,4.225126750929395,4.173430254080946
12040N2_ddec.cif,3.3003339179582953,3.364031193153282
12050N2_ddec.cif,5.794893007842867,6.231560962484038
12060N2_ddec.cif,3.278491141826969,3.302363620087544
12061N2_ddec.cif,3.291660799663491,3.303522034471584
12062N2_ddec.cif,3.450778422235441,3.465774886992771
13000N2_ddec.cif,6.9040236041623775,6.90575169509638
13010N2_ddec.cif,2.729807817470562,2.744696160871744
13011N2_ddec.cif,2.8720184039159413,2.8652783734085765
13012N2_ddec.cif,2.805948915898106,2.8134387983105387
13020N2_ddec.cif,2.696443521650684,2.7034216414762398
13040N3_ddec.cif,12.195136352105475,11.728470043556287
13050N2_ddec.cif,3.694502683250691,3.671545610939381
13060N2_ddec.cif,4.597231982866456,4.616274952522202
13070N2_ddec.cif,3.246156950945636,3.2244193894749382
13071N2_ddec.cif,3.377910104003784,3.4047039841958915
13072N2_ddec.cif,3.186970433455576,3.2155506445935234
13073N2_ddec.cif,3.240546314533328,3.243270274808248
13074N2_ddec.cif,3.9558226298596164,3.9063686545461027
13075N2_ddec.cif,3.293984114584638,3.3304941088771765
13076N2_ddec.cif,3.0535702519499743,3.0983821060500767
13077N2_ddec.cif,3.8246421070881778,3.8724205060110855
13078N2_ddec.cif,4.241438466267343,4.302299066728577
13080N2_ddec.cif,5.551860056508553,5.510257790086489
13090N2_ddec.cif,3.1292048479061894,3.1228509692118234
13100N2_ddec.cif,3.3125994304554642,3.3082158221774347
13110N2_ddec.cif,3.7516039067182674,3.715292189750088
13120N2_ddec.cif,3.637341155087442,3.681073216186021
13121N2_ddec.cif,3.4512381255928206,3.4440783719819037
13122N2_ddec.cif,3.006990257067493,2.992098625079097
13123N2_ddec.cif,3.9267567526293505,3.8926912507696216
13130N2_ddec.cif,2.6101034865950945,2.614881742474168
13140N2_ddec.cif,6.903680638373734,6.71754508300835
13141N2_ddec.cif,3.431580452711957,3.4705175603119827
13142N2_ddec.cif,4.159682969326826,4.268672491379296
13150N2_ddec.cif,3.153598882777425,3.1734121673038085
13160N2_ddec.cif,2.9703829007666136,2.9901688504199972
13161N2_ddec.cif,5.00605557175293,4.250344536810494
13170N2_ddec.cif,3.5883695445186983,3.5771843315804928
13180N3_ddec.cif,11.931853577511175,9.907088631871122
13181N3_ddec.cif,9.149907633968926,9.279758219433191
13182N3_ddec.cif,11.643215852651883,10.905088965674121
13190N2_ddec.cif,3.432557989849942,3.4609587876637797
13191N2_ddec.cif,2.9905279777952427,3.0090593154964753
14000N2_ddec.cif,4.708848064234706,4.8875282437793794
14010N2_ddec.cif,3.8805251683537945,3.904271005373541
14020N2_ddec.cif,3.530789399705419,3.575926566114428
14030N2_ddec.cif,3.2665785318145235,3.268255634355724
14050N3_ddec.cif,3.5539358505344927,3.561167963046627
14051N3_ddec.cif,4.3580843381453676,4.259580328678127
14060N2_ddec.cif,3.7081971244353373,3.6624503629207106
14070N2_ddec.cif,3.467049078579628,3.437980045212817
