# burn cycles,# sample cycles,# samples,Fraction of deletion proposals accepted,Fraction of identity change proposals accepted,Fraction of insertion proposals accepted,Fraction of reinsertion proposals accepted,Fraction of rotation proposals accepted,Fraction of translation proposals accepted,Q_st (K),Total # deletion proposals,Total # identity change proposals,Total # insertion proposals,Total # reinsertion proposals,Total # rotation proposals,Total # translation proposals,adsorbate,density grid,elapsed time (min),err ⟨N⟩ (mmol/g),err ⟨N⟩ (molecules),err ⟨N⟩ (molecules/unit cell),"err ⟨U_gg, electro⟩ (K)","err ⟨U_gg, vdw⟩ (K)","err ⟨U_gh, electro⟩ (K)","err ⟨U_gh, vdw⟩ (K)",err ⟨U⟩ (K),forcefield,fugacity (bar),num snapshots,pressure (bar),repfactors,temperature (K),var(N),xtal,⟨N⟩ (mmol/g),⟨N⟩ (molecules),⟨N⟩ (molecules/unit cell),"⟨U_gg, electro⟩ (K)","⟨U_gg, vdw⟩ (K)","⟨U_gh, electro⟩ (K)","⟨U_gh, vdw⟩ (K)",⟨U⟩ (K),err selectivity Xe/Kr,selectivity Xe/Kr
92370,92370,1229672,0.009801338462349159,0.6165105044377036,0.009799718651168523,0.0020667469403159427,NaN,0.3838123539195952,17260.742605882933,778057,222525,779104,111286,0,554917,Kr,"Regular grid of 0 by 0 by 0 points superimposed over a unit cell and associated data.
	units of data attribute: inverse_A3
	origin: [0.000000, 0.000000, 0.000000]
",8.309305548667908,0.014293229046636723,0.5005995569846872,0.011124434599659715,0.0,36.58510213967043,0.0,1995.499089670425,2032.0841918100955,UFF,0.8,92370,0.8,"(3, 3, 5)",298.0,9.483112871019998,05000N2_ddec.cif,0.2683113066601233,9.397213240603998,0.20882696090231107,0.0,-219.72547356466882,0.0,-31876.355761124832,-32096.0812346895,0.15896908785806535,1.6714455207005499
92370,92370,1229672,0.009801338462349159,0.6165105044377036,0.009799718651168523,0.0020667469403159427,NaN,0.3838123539195952,81568.57193868922,778057,222525,779104,111286,0,554917,Xe,"Regular grid of 0 by 0 by 0 points superimposed over a unit cell and associated data.
	units of data attribute: inverse_A3
	origin: [0.000000, 0.000000, 0.000000]
",8.309305548667908,0.008833695383356653,0.30938733165313487,0.006875274036736331,0.0,36.58510213967043,0.0,1995.499089670425,2032.0841918100955,UFF,0.2,92370,0.2,"(3, 3, 5)",298.0,4.139759191145018,05000N2_ddec.cif,0.1121169329175937,3.9267324945188635,0.08726072210041919,0.0,-219.72547356466882,0.0,-31876.355761124832,-32096.0812346895,0.15896908785806535,1.6714455207005499
395494,395494,7222672,0.2383353804356225,0.7233848981327254,0.23830844655907002,0.11228527237727998,NaN,0.4592881642997703,20924.17392279615,4594299,1312394,4594877,655598,0,3282780,Kr,"Regular grid of 0 by 0 by 0 points superimposed over a unit cell and associated data.
	units of data attribute: inverse_A3
	origin: [0.000000, 0.000000, 0.000000]
",43.78228433529536,0.001671163176161498,0.062142383004153895,0.0031071191502076946,0.0,2.9625250401108327,0.0,130.72070952717544,133.68323456728626,UFF,0.8,395494,0.8,"(2, 2, 5)",298.0,9.815064853309593,05001N2_ddec.cif,0.2690649190800564,10.00520804488976,0.500260402244488,0.0,-154.27675706342785,0.0,-21947.601539085677,-22101.878296149105,0.024900848729335665,3.2732339780995146
395494,395494,7222672,0.2383353804356225,0.7233848981327254,0.23830844655907002,0.11228527237727998,NaN,0.4592881642997703,30176.481616158548,4594299,1312394,4594877,655598,0,3282780,Xe,"Regular grid of 0 by 0 by 0 points superimposed over a unit cell and associated data.
	units of data attribute: inverse_A3
	origin: [0.000000, 0.000000, 0.000000]
",43.78228433529536,0.0009671859452297623,0.03596491372120459,0.0017982456860602294,0.0,2.9625250401108327,0.0,130.72070952717544,133.68323456728626,UFF,0.2,395494,0.2,"(2, 2, 5)",298.0,8.120405425143645,05001N2_ddec.cif,0.22017810886185926,8.187346732621943,0.40936733663109715,0.0,-154.27675706342785,0.0,-21947.601539085677,-22101.878296149105,0.024900848729335665,3.2732339780995146
629651,629651,3617599,0.24445282247906525,0.6021609584411205,0.24470015074029125,0.11991997263814859,NaN,0.4550082707168116,6991.974228486725,2310274,658319,2307943,330387,0,1649192,Kr,"Regular grid of 0 by 0 by 0 points superimposed over a unit cell and associated data.
	units of data attribute: inverse_A3
	origin: [0.000000, 0.000000, 0.000000]
",9.502450517813365,0.0021863356146923914,0.025315923536660526,0.005063184707332105,0.0,1.169371134166612,0.0,63.03084538684134,64.20021652100796,UFF,0.8,629651,0.8,"(1, 1, 5)",298.0,3.2088950756346737,07000N2_ddec.cif,0.27990841951121864,3.2411035606765703,0.6482207121353141,0.0,-41.054243100252386,0.0,-6283.474374139437,-6324.528617239689,0.03875405668656973,2.989498774969375
629651,629651,3617599,0.24445282247906525,0.6021609584411205,0.24470015074029125,0.11991997263814859,NaN,0.4550082707168116,11480.50987824581,2310274,658319,2307943,330387,0,1649192,Xe,"Regular grid of 0 by 0 by 0 points superimposed over a unit cell and associated data.
	units of data attribute: inverse_A3
	origin: [0.000000, 0.000000, 0.000000]
",9.502450517813365,0.002164344873024303,0.025061289284333214,0.005012257856866643,0.0,1.169371134166612,0.0,63.03084538684134,64.20021652100796,UFF,0.2,629651,0.2,"(1, 1, 5)",298.0,2.383962902657448,07000N2_ddec.cif,0.2091964693081005,2.422318781047872,0.4844637562095744,0.0,-41.054243100252386,0.0,-6283.474374139437,-6324.528617239689,0.03875405668656973,2.989498774969375
96389,96389,8095343,0.057533879297218406,0.7474825852979864,0.05754628956154867,0.02270292872260559,NaN,0.44455175161717453,547234.2559287067,5162002,1475621,5162557,736601,0,3689305,Kr,"Regular grid of 0 by 0 by 0 points superimposed over a unit cell and associated data.
	units of data attribute: inverse_A3
	origin: [0.000000, 0.000000, 0.000000]
",69.40876989761988,0.0032333075169426167,0.12389456141734485,0.002753212475940997,0.0,65.18362332343062,0.0,693.0354129962672,758.2190363196978,UFF,0.8,96389,0.8,"(3, 3, 5)",298.0,21.877545912219034,07001N2_ddec.cif,0.6387773174804388,24.47680437999971,0.5439289862222157,0.0,-7947.112142137222,0.0,-192187.00140829003,-200134.11355042725,0.07045952756818441,9.662809782703624
96389,96389,8095343,0.057533879297218406,0.7474825852979864,0.05754628956154867,0.02270292872260559,NaN,0.44455175161717453,114572.5801191189,5162002,1475621,5162557,736601,0,3689305,Xe,"Regular grid of 0 by 0 by 0 points superimposed over a unit cell and associated data.
	units of data attribute: inverse_A3
	origin: [0.000000, 0.000000, 0.000000]
",69.40876989761988,0.008099385060572105,0.31035395011812766,0.0068967544470695035,0.0,65.18362332343062,0.0,693.0354129962672,758.2190363196978,UFF,0.2,96389,0.2,"(3, 3, 5)",298.0,44.02205105208168,07001N2_ddec.cif,1.5430959280797907,59.12867620309603,1.3139705822910228,0.0,-7947.112142137222,0.0,-192187.00140829003,-200134.11355042725,0.07045952756818441,9.662809782703624
231699,231699,3438017,0.2161569741126312,0.7190504898989818,0.2163311136651831,0.10178457208647819,NaN,0.48894346539669803,20907.602895305066,2191648,625333,2189967,312680,0,1565183,Kr,"Regular grid of 0 by 0 by 0 points superimposed over a unit cell and associated data.
	units of data attribute: inverse_A3
	origin: [0.000000, 0.000000, 0.000000]
",18.45079098145167,0.0026635118809203683,0.06968236292532165,0.0034841181462660826,0.0,2.760605891475279,0.0,197.43083034063952,200.1914362321148,UFF,0.8,231699,0.8,"(2, 2, 5)",298.0,7.692470443941197,07002N2_ddec.cif,0.29627628645867415,7.7511318297728025,0.38755659148864013,0.0,-186.18885535385016,0.0,-19507.101261325653,-19693.290116679505,0.046715182954938685,3.6335334607475236
231699,231699,3438017,0.2161569741126312,0.7190504898989818,0.2163311136651831,0.10178457208647819,NaN,0.48894346539669803,24707.270672236267,2191648,625333,2189967,312680,0,1565183,Xe,"Regular grid of 0 by 0 by 0 points superimposed over a unit cell and associated data.
	units of data attribute: inverse_A3
	origin: [0.000000, 0.000000, 0.000000]
",18.45079098145167,0.0024736022962373577,0.06471397937964515,0.0032356989689822577,0.0,2.760605891475279,0.0,197.43083034063952,200.1914362321148,UFF,0.2,231699,0.2,"(2, 2, 5)",298.0,7.067954263918672,07002N2_ddec.cif,0.26913245011840276,7.040999215536165,0.3520499607768083,0.0,-186.18885535385016,0.0,-19507.101261325653,-19693.290116679505,0.046715182954938685,3.6335334607475236
1501419,1501419,54083402,0.36436594263945077,0.801543911305742,0.3645086366458771,0.22543731612196957,NaN,0.46609967589184104,29652.271340296957,34394057,9827378,34380708,4910864,0,24558777,Kr,"Regular grid of 0 by 0 by 0 points superimposed over a unit cell and associated data.
	units of data attribute: inverse_A3
	origin: [0.000000, 0.000000, 0.000000]
",365.93693026701607,0.00036969672625981344,0.015035230520378678,0.0018794038150473347,0.0,0.9379568759835981,0.0,41.17544089726114,42.113397773244735,UFF,0.8,1501419,0.8,"(2, 2, 2)",298.0,20.794934748699973,07010N3_ddec.cif,0.5127847105870744,20.85448905377661,2.6068111317220763,0.0,-388.9226851462011,0.0,-37457.94902238194,-37846.87170752814,0.004410002383588666,2.8989296878529496
1501419,1501419,54083402,0.36436594263945077,0.801543911305742,0.3645086366458771,0.22543731612196957,NaN,0.46609967589184104,54823.63516611562,34394057,9827378,34380708,4910864,0,24558777,Xe,"Regular grid of 0 by 0 by 0 points superimposed over a unit cell and associated data.
	units of data attribute: inverse_A3
	origin: [0.000000, 0.000000, 0.000000]
",365.93693026701607,0.0004978236100422563,0.0202460346652143,0.0025307543331517875,0.0,0.9379568759835981,0.0,41.17544089726114,42.113397773244735,UFF,0.2,1501419,0.2,"(2, 2, 2)",298.0,15.179696120206444,07010N3_ddec.cif,0.3716317052494882,15.113924360749348,1.8892405450936685,0.0,-388.9226851462011,0.0,-37457.94902238194,-37846.87170752814,0.004410002383588666,2.8989296878529496
1715251,1715251,7148777,0.3537259251989121,0.5710633188326808,0.35390397307276017,0.21121573158701817,NaN,0.4127147899282493,4370.215877915606,4554399,1300861,4552119,650818,0,3256554,Kr,"Regular grid of 0 by 0 by 0 points superimposed over a unit cell and associated data.
	units of data attribute: inverse_A3
	origin: [0.000000, 0.000000, 0.000000]
",11.877568165461222,0.0010353672319232318,0.005463150742509617,0.005463150742509617,0.0,0.13773537941790653,0.0,14.85088154534498,14.988616924762885,UFF,0.8,1715251,0.8,"(1, 1, 1)",298.0,2.4453942493642646,07011N3_ddec.cif,0.4638188264618136,2.4473559603272,2.4473559603272,0.0,-33.41969076817132,0.0,-3799.4588551258908,-3832.878545894062,0.0174887394300128,2.595100643007311
1715251,1715251,7148777,0.3537259251989121,0.5710633188326808,0.35390397307276017,0.21121573158701817,NaN,0.4127147899282493,8590.695722360344,4554399,1300861,4552119,650818,0,3256554,Xe,"Regular grid of 0 by 0 by 0 points superimposed over a unit cell and associated data.
	units of data attribute: inverse_A3
	origin: [0.000000, 0.000000, 0.000000]
",11.877568165461222,0.0019134201352014324,0.010096227029458109,0.010096227029458109,0.0,0.13773537941790653,0.0,14.85088154534498,14.988616924762885,UFF,0.2,1715251,0.2,"(1, 1, 1)",298.0,1.5981304019977798,07011N3_ddec.cif,0.3009141336974872,1.5877837565782231,1.5877837565782231,0.0,-33.41969076817132,0.0,-3799.4588551258908,-3832.878545894062,0.0174887394300128,2.595100643007311
